id,username,password,is_active,person_id,role_id,order_count,created_by,created_at,updated_by,updated_at
1,estradabecky,^i#x5NeXdu,False,648,4,2,admin,2024-01-09 20:07:57,,
2,jking,!E3EUc+%E0,True,781,5,4,admin,2024-09-24 10:20:01,,
3,moyerdavid,Z58(QF11@l,True,876,3,1,admin,2024-06-01 20:20:29,admin,2024-06-14 20:20:29
4,jamiehancock,5L%6PNl9&(,True,586,1,6,admin,2024-03-15 14:46:40,admin,2024-04-13 14:46:40
5,danielle86,IR@#5GihO),True,915,5,10,admin,2024-06-20 00:28:13,admin,2024-07-13 00:28:13
6,barrynichols,rt6T^v$9_2,True,145,1,6,admin,2024-06-29 18:24:43,,
7,andrew87,#CXyHcjJN1,True,726,4,8,admin,2024-02-06 10:20:33,admin,2024-03-04 10:20:33
8,hmahoney,*fj+Oo7z1Y,True,339,3,5,admin,2024-02-08 11:08:08,,
9,kurt61,(w5iJm&SG9,True,371,2,3,admin,2024-09-07 19:57:09,admin,2024-10-05 19:57:09
10,tarasanchez,BQ@e)f3m@1,False,469,3,6,admin,2024-06-09 07:27:06,admin,2024-06-19 07:27:06
11,rodriguezsean,t6Kwz^3u%0,True,802,3,7,admin,2024-05-07 17:21:45,,
12,larryphillips,w2s(!zL(_8,True,186,3,6,admin,2024-07-22 17:48:54,,
13,reedlori,N8vcyWnt!j,True,149,4,5,admin,2024-06-26 05:43:00,admin,2024-07-06 05:43:00
14,steventorres,S52VWjeI!z,True,289,3,3,admin,2024-07-17 08:04:08,,
15,kyle54,!X9Pe6Oym@,False,645,2,8,admin,2024-04-06 19:04:52,admin,2024-04-28 19:04:52
16,daniel09,e*1HsFCil*,False,714,2,1,admin,2024-05-16 16:16:40,admin,2024-05-22 16:16:40
17,greerdevin,_djVMIRm#7,True,418,4,4,admin,2024-07-11 17:19:50,admin,2024-07-26 17:19:50
18,bwilson,&vyh4MptaA,True,491,5,4,admin,2024-09-17 19:06:01,,
19,bowenbrittney,$K2Zl67i&3,True,278,2,10,admin,2024-03-23 03:39:14,admin,2024-04-05 03:39:14
20,holtjesse,t+K1oUShnO,True,905,5,9,admin,2024-07-09 19:47:10,admin,2024-07-14 19:47:10
21,donna56,H_zpU5TgOB,False,617,2,6,admin,2024-08-31 13:14:55,admin,2024-09-15 13:14:55
22,cowandarius,d7TUctIN&9,False,959,1,2,admin,2024-05-04 05:05:24,admin,2024-05-15 05:05:24
23,tracy23,xI_C5Pb0%s,True,105,5,6,admin,2024-08-20 01:46:04,,
24,horneedward,C6_BXLXu$*,False,963,1,4,admin,2024-08-12 05:40:41,,
